card1,card2,win,lose
chauves-souris,mortier,0,1
chauves-souris,geant,0,1
chauves-souris,sorciere,3,2
chauves-souris,prince tenebreux,2,3
chauves-souris,electrocution,2,2
chauves-souris,poison,0,1
mortier,poison,0,1
mortier,esprit de feu,0,1
geant,poison,0,1
sorciere,poison,0,1
prince tenebreux,poison,0,1
electrocution,poison,0,1
poison,esprit de feu,0,1
fleche,cabane de barbares,1,2
fleche,mini p.e.k.k.a,2,2
bebe dragon,cabane de barbares,4,2
bebe dragon,esprit de glace,10,3
cabane de barbares,mini p.e.k.k.a,13,5
cabane de barbares,prince tenebreux,12,4
gang de gobelin,gobelin a sarbacane,6,5
ballon,gobelin a sarbacane,2,2
belier de combat,prince,2,2
belier de combat,gang de gobelin,4,2
belier de combat,roquette,1,1
belier de combat,machine volante,0,1
belier de combat,gobelins,1,2
prince,gang de gobelin,2,2
prince,ballon,0,3
gang de gobelin,roquette,4,4
gang de gobelin,machine volante,0,1
roquette,machine volante,0,2
roquette,ballon,0,2
roquette,sorciere,0,1
machine volante,ballon,1,1
machine volante,sorciere,4,2
machine volante,gobelins,0,2
ballon,gobelins,2,4
mega gargouille,gardes,0,2
mega gargouille,pierre tombale,4,3
horde de gargouille,gardes,0,2
horde de gargouille,guerrisseuse armee,0,1
gardes,guerrisseuse armee,0,1
gardes,pierre tombale,0,1
belier de combat,pierre tombale,1,2
guerrisseuse armee,machine volante,1,3
guerrisseuse armee,boule de neige,6,1
gobelin a sarbacane,machine volante,1,2
gobelin a sarbacane,boule de neige,9,4
machine volante,squelette geant,1,4
machine volante,dragon squelettes,3,2
machine volante,boule de neige,1,2
machine volante,mega gargouille,2,3
squelette geant,boule de neige,7,3
dragon squelettes,boule de neige,7,2
dragon squelettes,mega gargouille,7,2
boule de neige,mini p.e.k.k.a,12,4
boule de neige,mega gargouille,6,2
boule de feu,horde de gargouille,2,2
boule de feu,dragon squelettes,6,2
boule de feu,tour a bombe,1,2
boule de feu,mega gargouille,4,4
boule de feu,gargouille,3,3
prince,horde de gargouille,1,1
prince,gargouille,0,2
tour a bombe,gargouille,0,2
mega gargouille,golem de glace,1,1
mega gargouille,gang de gobelin,3,2
mega gargouille,mineur,3,5
golem de glace,gang de gobelin,1,2
golem de glace,chevalier,1,3
gang de gobelin,chevalier,3,1
chevalier,mineur,8,1
gargouille,fut a squelettes,4,4
gargouille,prince tenebreux,11,4
esprit de feu,dragon squelettes,4,2
ballon,chevalier,4,2
ballon,bebe dragon,4,1
roquette,mini p.e.k.k.a,8,3
fut a barbare,p.e.k.k.a,1,3
fut a barbare,dragon squelettes,4,2
p.e.k.k.a,dragon squelettes,8,4
squelette geant,p.e.k.k.a,5,1
p.e.k.k.a,mega gargouille,2,4
machine volante,prince tenebreux,2,2
geant royal,sorciere,0,1
geant royal,cabane de barbares,0,1
chauves-souris,horde de gargouille,3,2
sorciere,pierre tombale,9,3
cabane de barbares,pierre tombale,5,4
cabane de barbares,horde de gargouille,1,2
cabane de barbares,cage gobeline,4,1
pierre tombale,cage gobeline,2,2
pierre tombale,mineur,5,3
gobelin a sarbacane,cage gobeline,6,3
horde de gargouille,cage gobeline,1,2
horde de gargouille,mineur,8,1
cage gobeline,mineur,2,1
dragon squelettes,barbares d'elite,0,1
roquette,barbares d'elite,0,1
roquette,gobelin a sarbacane,2,2
barbares d'elite,mini p.e.k.k.a,0,1
barbares d'elite,gobelins,0,1
barbares d'elite,prince tenebreux,0,1
barbares d'elite,mortier,1,1
barbares d'elite,gobelin a sarbacane,0,1
mini p.e.k.k.a,mortier,3,2
mortier,gobelin a sarbacane,3,2
tour de l'enfer,roquette,3,2
esprit de feu,fut a barbare,2,2
squelettes,geant royal,0,1
squelettes,squelette geant,5,2
squelettes,dragon squelettes,0,1
geant royal,squelette geant,0,1
geant royal,chauves-souris,1,1
squelettes,chevalier,6,2
squelettes,cabane de barbares,7,1
chevalier,chevaucheur de cochon,3,2
mega gargouille,cabane de barbares,5,4
cabane de barbares,belier de combat,5,2
gobelin a sarbacane,trois mousquettaires,5,3
fut a squelettes,trois mousquettaires,10,4
mini p.e.k.k.a,trois mousquettaires,11,1
belier de combat,trois mousquettaires,5,2
belier de combat,bebe dragon,4,5
trois mousquettaires,prince tenebreux,4,1
trois mousquettaires,bebe dragon,3,2
esprit de feu,sorcier,0,1
sorcier,chevalier,0,1
electrocuteur,boule de feu,2,3
electrocuteur,chauves-souris,1,2
electrocuteur,mini p.e.k.k.a,2,3
electrocuteur,gargouille,1,4
electrocuteur,bebe dragon,2,3
electrocuteur,electrocution,0,1
electrocuteur,esprit de glace,5,3
boule de feu,chauves-souris,5,2
boule de feu,mini p.e.k.k.a,14,8
boule de feu,bebe dragon,0,1
chauves-souris,esprit de glace,0,1
gargouille,esprit de glace,6,1
mineur,machine volante,2,2
machine volante,electrocution,1,3
machine volante,chevalier,2,1
electrocution,chevaucheur de cochon,4,2
geant,cabane de barbares,6,2
archeres,cabane de barbares,1,3
archeres,mineur,1,1
boule de feu,machine volante,2,1
machine volante,fut a barbare,1,1
machine volante,chauves-souris,1,1
electrocution,roquette,2,3
roquette,cabane de barbares,0,2
roquette,mega gargouille,0,3
geant royal,chevalier,0,1
geant royal,belier de combat,1,1
chevalier,cabane de gobelin,0,1
gargouille,gang de gobelin,1,3
archeres,valkyrie,0,1
gang de gobelin,cabane de gobelin,3,3
gang de gobelin,valkyrie,0,2
sorciere,cabane de gobelin,0,1
tour de l'enfer,valkyrie,0,1
cabane de gobelin,valkyrie,0,1
armee de squelettes,gang de gobelin,9,3
gang de gobelin,p.e.k.k.a,5,3
gang de gobelin,fut a squelettes,9,4
gang de gobelin,squelette geant,8,3
p.e.k.k.a,fut a squelettes,8,3
p.e.k.k.a,pierre tombale,1,1
dragon squelettes,fut a squelettes,10,4
fut a squelettes,pierre tombale,8,2
pierre tombale,squelette geant,7,1
gardes,cabane de barbares,0,3
gardes,berserker,0,1
gardes,gobelins,0,2
mega gargouille,berserker,2,1
mini p.e.k.k.a,berserker,3,3
p.e.k.k.a,berserker,2,2
cabane de barbares,berserker,0,1
berserker,gobelins,1,2
gobelins,chevalier,1,3
fut a squelettes,cabane de gobelin,2,2
fut a squelettes,esprit de glace,15,3
fut a squelettes,horde de gargouille,6,3
p.e.k.k.a,belier de combat,4,1
recrues royales,fut a barbare,0,2
recrues royales,chauves-souris,1,1
recrues royales,boule de feu,0,2
recrues royales,chevaucheur de cochon,0,1
recrues royales,machine volante,0,1
recrues royales,mini p.e.k.k.a,3,4
boule de feu,chevaucheur de cochon,1,3
boule de feu,archeres,0,3
gobelins,electrocuteur,2,1
ballon,electrocuteur,1,2
ballon,berserker,3,1
ballon,tour de l'enfer,1,2
gang de gobelin,electrocuteur,4,3
gang de gobelin,berserker,6,3
electrocuteur,berserker,4,1
electrocuteur,tour de l'enfer,3,1
electrocuteur,tour a bombe,1,1
esprit de glace,berserker,4,2
berserker,tour de l'enfer,2,0
berserker,tour a bombe,1,1
mortier,gobelin a lance,2,1
mortier,gardes,1,1
mortier,geant royal,1,0
gobelin a lance,geant royal,3,0
gobelin a lance,roquette,2,1
gobelin a lance,p.e.k.k.a,3,1
gardes,roquette,2,2
geant royal,roquette,2,0
cage gobeline,electrocuteur,2,0
cage gobeline,boule de neige,3,3
electrocuteur,squelettes,1,2
electrocuteur,cabane de barbares,1,3
electrocuteur,boule de neige,1,2
electrocuteur,sorciere,2,3
electrocuteur,gobelin a sarbacane,3,1
squelettes,boule de neige,2,1
squelettes,gobelin a sarbacane,7,2
cabane de barbares,boule de neige,7,3
boule de neige,sorciere,13,5
boule de neige,esprit de glace,16,1
squelettes,gobelins,2,1
squelettes,p.e.k.k.a,1,3
squelettes,canon,0,1
fut a barbare,canon,0,1
fut a barbare,boule de neige,2,4
cabane de gobelin,boule de neige,1,2
tour a bombe,p.e.k.k.a,0,2
tour a bombe,canon,0,1
tour a bombe,boule de neige,0,1
gobelins,boule de neige,0,1
p.e.k.k.a,canon,0,1
p.e.k.k.a,boule de neige,3,4
canon,boule de neige,1,1
esprit de glace,trois mousquettaires,6,3
boule de neige,trois mousquettaires,5,2
boule de neige,ballon,7,5
boule de neige,prince tenebreux,16,3
boule de neige,fut a squelettes,16,3
trois mousquettaires,dragon squelettes,6,2
ballon,fut a squelettes,4,4
chevaucheur de cochon,p.e.k.k.a,4,2
tour de l'enfer,p.e.k.k.a,3,2
gargouille,p.e.k.k.a,0,1
gargouille,fleche,1,2
gargouille,roquette,0,1
fleche,roquette,1,2
sorciere,barbares,1,1
archeres,barbares,0,2
machine volante,barbares,0,1
machine volante,tour de l'enfer,0,1
barbares,tour de l'enfer,0,1
barbares,squelette geant,0,1
pierre tombale,trois mousquettaires,6,2
trois mousquettaires,squelette geant,4,1
squelette geant,esprit de glace,7,1
chauves-souris,trois mousquettaires,3,1
chauves-souris,fut a squelettes,5,2
trois mousquettaires,horde de gargouille,0,1
tour a bombe,mineur,0,1
fut a barbare,horde de gargouille,3,1
gobelins,horde de gargouille,1,2
pierre tombale,foudre,3,1
pierre tombale,boule de feu,5,5
pierre tombale,chevalier,4,5
machine volante,foudre,1,1
foudre,sorciere,8,0
foudre,mini p.e.k.k.a,6,3
foudre,boule de feu,4,1
foudre,chevalier,4,2
foudre,prince tenebreux,12,0
boule de feu,prince tenebreux,14,4
geant,boule de neige,5,3
boule de neige,pierre tombale,7,2
archeres,gobelins,0,1
boule de feu,mineur,2,3
boule de feu,fut a gobelin,0,1
mineur,fut a gobelin,1,1
mineur,p.e.k.k.a,4,3
fut a gobelin,fut a barbare,0,0
chevalier,archeres,2,2
chevalier,chauves-souris,0,1
chevalier,horde de gargouille,3,2
chevalier,fut a barbare,1,2
archeres,belier de combat,3,2
belier de combat,fut a barbare,1,1
boule de feu,valkyrie,3,2
valkyrie,prince tenebreux,2,1
valkyrie,mini p.e.k.k.a,2,3
valkyrie,gobelin a sarbacane,2,3
valkyrie,p.e.k.k.a,3,1
cochon royaux,cabane de barbares,0,1
cochon royaux,gobelin geant,0,1
cochon royaux,bebe dragon,0,2
cochon royaux,pierre tombale,0,1
cochon royaux,chevalier,0,2
cochon royaux,p.e.k.k.a,0,1
cochon royaux,ballon,0,1
cabane de barbares,gobelin geant,0,1
cabane de barbares,ballon,0,3
gobelin geant,pierre tombale,0,1
gobelin geant,chevalier,0,1
gobelin geant,ballon,0,1
p.e.k.k.a,ballon,0,2
fut a squelettes,fleche,2,3
esprit de feu,fleche,1,0
ballon,chauves-souris,4,1
fleche,dragon squelettes,1,2
bebe dragon,chevaucheur de cochon,0,2
bebe dragon,sorcier,0,1
sorciere,sorcier,0,1
fleche,electrocuteur,0,2
fleche,sorcier,0,1
electrocuteur,chevaucheur de cochon,0,3
electrocuteur,squelette geant,0,1
electrocuteur,sorcier,0,1
boule de neige,gang de gobelin,6,2
gargouille,boule de neige,8,1
gargouille,pierre tombale,4,2
armee de squelettes,boule de neige,7,2
chevaucheur de cochon,dragon squelettes,3,4
tour a bombe,chauves-souris,1,1
mega gargouille,fut a gobelin,1,1
fut a gobelin,ballon,1,0
armee de squelettes,electrocuteur,3,2
armee de squelettes,tour de l'enfer,2,1
prince tenebreux,electrocuteur,7,3
electrocuteur,dragon squelettes,4,1
electrocuteur,geant,1,3
p.e.k.k.a,trois mousquettaires,4,1
roquette,trois mousquettaires,1,0
roquette,boule de feu,2,3
trois mousquettaires,boule de feu,5,2
trois mousquettaires,tour de l'enfer,3,0
trois mousquettaires,electrocution,4,3
cabane de barbares,gang de gobelin,3,3
cabane de barbares,dragon squelettes,3,3
gang de gobelin,boule de feu,10,6
boule de neige,boule de feu,10,5
boule de neige,bebe dragon,4,1
gang de gobelin,bebe dragon,7,3
electrocution,gang de gobelin,1,3
fournaise,armee de squelettes,3,2
fournaise,gobelin a sarbacane,3,3
fournaise,esprit de glace,5,0
fournaise,p.e.k.k.a,1,3
fournaise,squelettes,4,2
fournaise,chevaucheur de cochon,2,2
fournaise,squelette geant,2,1
fleche,squelettes,0,1
fleche,mousquetaire,0,1
fleche,boule de feu,1,1
squelettes,mousquetaire,0,2
squelettes,boule de feu,6,2
mousquetaire,cabane de barbares,0,1
mousquetaire,archeres,0,2
mousquetaire,electrocuteur,0,2
mousquetaire,p.e.k.k.a,0,3
mousquetaire,boule de feu,0,1
archeres,electrocuteur,0,2
electrocuteur,p.e.k.k.a,0,3
tour a bombe,roquette,0,1
tour a bombe,cabane de barbares,0,1
roquette,chauves-souris,0,1
gardes,chauves-souris,0,1
cabane de barbares,chauves-souris,2,2
chauves-souris,p.e.k.k.a,0,2
golem de glace,horde de gargouille,0,2
golem de glace,fut a squelettes,0,1
golem de glace,electrocution,0,1
electrocution,boule de neige,6,3
mineur,boule de neige,6,1
mineur,fut a squelettes,9,4
cabane de barbares,recrues royales,2,1
cabane de barbares,fut a squelettes,4,1
belier de combat,recrues royales,3,0
recrues royales,fut a squelettes,5,3
recrues royales,prince tenebreux,3,4
recrues royales,gobelin a sarbacane,2,2
recrues royales,p.e.k.k.a,1,1
trois mousquettaires,gobelins,1,1
gang de gobelin,chauves-souris,5,1
gang de gobelin,trois mousquettaires,1,2
chauves-souris,boule de neige,2,0
chauves-souris,pierre tombale,7,1
boule de feu,ballon,5,3
mineur,electro-esprit,5,2
mineur,fournaise,4,5
mortier,electro-esprit,4,0
mortier,fournaise,2,2
electro-esprit,dragon squelettes,6,3
electro-esprit,gobelin a sarbacane,3,2
electro-esprit,fournaise,4,0
dragon squelettes,fournaise,2,2
fournaise,gang de gobelin,9,1
sorciere,geante runique,0,1
chevalier,geante runique,1,1
chevalier,cage gobeline,1,3
geante runique,cage gobeline,0,2
geante runique,ballon,0,2
geante runique,pierre tombale,0,1
geante runique,tour a bombe,0,1
geante runique,mini p.e.k.k.a,2,2
cage gobeline,ballon,1,1
cage gobeline,mini p.e.k.k.a,0,2
canon,horde de gargouille,1,1
canon,mortier,0,1
canon,gang de gobelin,0,1
canon,gargouille,0,1
tour de l'enfer,mortier,2,1
horde de gargouille,mortier,0,2
mortier,gargouille,1,1
horde de gargouille,gobelin a lance,1,1
fleche,gobelin a lance,0,1
fleche,cabane de gobelin,0,1
electrocuteur,trois mousquettaires,1,2
boule de neige,chevaucheur de cochon,1,1
gargouille,geant,2,1
boule de neige,esprit de feu,4,1
tour de l'enfer,boule de neige,6,2
gardes,boule de feu,2,2
gardes,gobelin a sarbacane,1,3
roquette,armee de squelettes,2,2
roquette,squelettes,2,0
boule de feu,armee de squelettes,3,3
chevalier,armee de squelettes,4,5
prince,boule de neige,3,2
boule de feu,geant,3,7
trois mousquettaires,cabane de barbares,1,1
trois mousquettaires,valkyrie,1,2
valkyrie,dragon squelettes,1,1
cage gobeline,prince,2,1
cage gobeline,fournaise,2,2
cage gobeline,armee de squelettes,3,2
prince,fournaise,2,1
fournaise,cabane de barbares,3,0
fournaise,boule de neige,3,1
cabane de barbares,armee de squelettes,4,1
mega gargouille,electro-esprit,1,0
squelette geant,electro-esprit,6,3
fut a barbare,electro-esprit,3,1
electro-esprit,mini p.e.k.k.a,5,3
dragon squelettes,berserker,6,0
berserker,armee de squelettes,4,2
berserker,boule de feu,6,5
boule de feu,esprit de feu,6,3
fut a squelettes,fournaise,3,3
chauves-souris,mineur,3,1
chauves-souris,fournaise,2,0
ballon,fournaise,1,0
mineur,bebe dragon,8,2
bebe dragon,fournaise,6,3
machine volante,fut a squelettes,0,1
mineur,esprit de feu,1,2
gobelin a lance,fut a squelettes,4,0
gobelin a lance,boule de feu,4,0
gobelin a lance,boule de neige,5,1
fut a squelettes,boule de feu,5,2
belier de combat,boule de neige,5,2
belier de combat,boule de feu,4,2
boule de neige,gardes,1,2
esprit de feu,p.e.k.k.a,0,1
gang de gobelin,fut a gobelin,0,2
gardes,cabane de gobelin,0,1
archeres,gobelin a sarbacane,0,3
fut a squelettes,mortier,2,2
boule de neige,mortier,2,2
boule de neige,fleche,2,1
mortier,fleche,1,1
trois mousquettaires,mineur,2,1
trois mousquettaires,fleche,1,0
electrocution,armee de squelettes,2,4
ballon,chasseur,1,0
ballon,valkyrie,1,0
chasseur,boule de neige,1,0
chasseur,valkyrie,1,0
chasseur,mineur,2,0
chasseur,fut a squelettes,1,1
chasseur,boule de feu,2,0
chevalier,boule de neige,6,0
chevalier,valkyrie,2,1
boule de neige,valkyrie,1,1
valkyrie,mineur,2,3
valkyrie,fut a squelettes,2,0
horde de gargouille,boule de neige,3,4
fournaise,mini p.e.k.k.a,5,2
fournaise,esprit de feu,3,1
fournaise,geant,3,1
fut a squelettes,geant,2,2
ballon,gargouille,3,1
recrues royales,gobelins,0,1
recrues royales,fournaise,1,1
recrues royales,gardes,0,1
fut a barbare,fournaise,0,1
fut a barbare,gardes,0,2
gobelins,fournaise,2,2
fournaise,prince tenebreux,0,4
fournaise,boule de feu,2,1
pierre tombale,fleche,0,1
pierre tombale,electro-esprit,0,1
machine volante,fleche,1,1
machine volante,electro-esprit,0,1
machine volante,geant royal,0,1
fleche,geant,0,1
electro-esprit,geant royal,0,1
electro-esprit,geant,0,1
squelette geant,chevalier,2,0
fut a squelettes,foudre,3,3
fut a squelettes,tour de l'enfer,3,5
chevalier,mortier,3,1
chevalier,tour de l'enfer,2,2
mortier,foudre,3,2
foudre,boule de neige,4,1
foudre,esprit de glace,5,1
cochon royaux,mini p.e.k.k.a,0,1
cochon royaux,boule de feu,0,1
cochon royaux,electro-dragon,0,1
cochon royaux,gobelin a sarbacane,0,1
cochon royaux,armee de squelettes,0,1
cochon royaux,geant,0,1
mini p.e.k.k.a,electro-dragon,1,1
boule de feu,electro-dragon,0,1
electro-dragon,gobelin a sarbacane,0,1
electro-dragon,chevalier,1,1
electro-dragon,armee de squelettes,0,1
electro-dragon,geant,0,1
chevaucheur de cochon,horde de gargouille,0,1
fut a gobelin,horde de gargouille,1,1
bombardier,tour de l'enfer,1,1
bombardier,mineur,2,1
bombardier,buche,1,1
bombardier,foudre,1,1
bombardier,sorciere,1,0
bombardier,chevaucheur de cochon,1,1
bombardier,electrocution,1,0
tour de l'enfer,mineur,1,2
tour de l'enfer,buche,1,1
mineur,buche,2,1
mineur,foudre,3,3
buche,foudre,1,1
buche,sorciere,1,0
buche,chevaucheur de cochon,1,0
buche,electrocution,1,0
foudre,electrocution,1,2
electrocuteur,mineur,3,2
electrocuteur,fut a squelettes,3,2
gobelins,fut a squelettes,0,2
geant royal,bebe dragon,4,2
geant royal,boule de neige,1,0
bebe dragon,tour de l'enfer,2,1
roquette,boule de neige,2,3
berserker,electrocution,0,1
berserker,mineur,2,2
electrocution,mousquetaire,1,0
horde de gargouille,mousquetaire,1,1
horde de gargouille,roquette,1,1
mini p.e.k.k.a,mousquetaire,2,0
mousquetaire,boule de neige,2,2
mousquetaire,roquette,1,0
mousquetaire,prince tenebreux,2,1
mousquetaire,squelette geant,1,1
geante runique,geant,1,1
geante runique,cabane de gobelin,2,0
geante runique,cabane de barbares,1,0
geante runique,fut a squelettes,2,2
geante runique,prince tenebreux,4,2
geante runique,esprit de glace,1,1
ballon,mortier,0,1
mortier,boule de feu,0,1
p.e.k.k.a,buche,0,1
cabane de gobelin,buche,0,1
cabane de gobelin,fournaise,1,4
cabane de gobelin,armee de squelettes,0,1
buche,dragon squelettes,0,1
buche,gobelin a lance,0,1
buche,fournaise,0,1
buche,armee de squelettes,0,1
buche,prince tenebreux,0,1
electrocuteur,recrues royales,2,2
electrocuteur,esprit de feu,2,1
electrocuteur,belier de combat,1,2
recrues royales,esprit de feu,1,0
recrues royales,trois mousquettaires,3,0
esprit de feu,trois mousquettaires,3,2
fut a barbare,fut a squelettes,0,1
mineur,mega chevalier,1,0
mega chevalier,p.e.k.k.a,1,1
mega chevalier,valkyrie,1,0
mega chevalier,fut a squelettes,1,1
mega chevalier,electrocution,1,0
mega chevalier,horde de gargouille,1,0
mega chevalier,esprit de glace,1,0
valkyrie,electrocution,1,3
valkyrie,horde de gargouille,1,0
mega chevalier,barbares,0,1
mega chevalier,bombardier,0,1
mega chevalier,recrues royales,0,1
mega chevalier,gang de gobelin,0,1
mega chevalier,fleche,0,1
barbares,bombardier,0,1
barbares,p.e.k.k.a,0,1
barbares,fut a squelettes,0,1
barbares,recrues royales,0,2
barbares,gang de gobelin,1,1
barbares,fleche,0,1
bombardier,p.e.k.k.a,0,1
bombardier,fut a squelettes,0,1
bombardier,recrues royales,0,1
bombardier,gang de gobelin,0,1
bombardier,fleche,0,1
recrues royales,gang de gobelin,3,2
recrues royales,fleche,0,1
tour de l'enfer,squelettes,2,1
berserker,squelettes,3,1
berserker,valkyrie,1,1
berserker,foudre,9,0
berserker,prince tenebreux,12,2
squelettes,foudre,4,2
valkyrie,foudre,1,2
bebe dragon,sapeurs,3,2
bebe dragon,bouliste,1,0
tour a bombe,fournaise,2,0
tour a bombe,sapeurs,2,1
tour a bombe,bouliste,1,0
fournaise,geant royal,2,0
fournaise,sapeurs,3,1
fournaise,bouliste,1,1
fournaise,horde de gargouille,2,1
geant royal,sapeurs,3,1
geant royal,bouliste,1,0
geant royal,horde de gargouille,2,0
esprit de glace,sapeurs,2,0
esprit de glace,bouliste,1,0
sapeurs,bouliste,1,1
sapeurs,horde de gargouille,4,1
bouliste,horde de gargouille,1,1
bebe dragon,cabane de gobelin,1,1
bebe dragon,rage,0,1
cabane de gobelin,rage,0,1
cabane de gobelin,cochon royaux,0,1
rage,cochon royaux,0,1
rage,belier de combat,0,1
rage,trois mousquettaires,0,1
rage,fut a squelettes,0,1
rage,fournaise,0,1
cochon royaux,belier de combat,0,1
cochon royaux,trois mousquettaires,0,1
cochon royaux,fut a squelettes,0,1
cochon royaux,fournaise,0,1
belier de combat,fournaise,2,2
colis royal,squelette geant,0,1
colis royal,gang de gobelin,0,1
colis royal,cimetiere,0,1
colis royal,gobelin a sarbacane,0,1
colis royal,electro-esprit,0,1
colis royal,geante runique,0,1
colis royal,esprit de glace,0,1
squelette geant,cimetiere,0,1
squelette geant,geante runique,0,1
gang de gobelin,cimetiere,0,1
gang de gobelin,geante runique,0,1
cimetiere,gobelin a sarbacane,0,3
cimetiere,electro-esprit,0,1
cimetiere,geante runique,0,1
cimetiere,esprit de glace,0,2
gobelin a sarbacane,geante runique,0,1
electro-esprit,geante runique,0,1
armee de squelettes,ronces,1,0
squelettes,ronces,1,1
mini p.e.k.k.a,ronces,1,3
esprit de feu,ronces,1,1
bebe dragon,ronces,1,1
belier de combat,ronces,1,2
ronces,fournaise,1,1
imperatrice spirituelle,gobelin a sarbacane,1,0
imperatrice spirituelle,trois mousquettaires,1,0
imperatrice spirituelle,tour a bombe,1,0
imperatrice spirituelle,belier de combat,1,0
imperatrice spirituelle,squelette geant,1,0
imperatrice spirituelle,fantome royal,1,0
imperatrice spirituelle,mini p.e.k.k.a,1,0
gobelin a sarbacane,fantome royal,2,2
trois mousquettaires,tour a bombe,1,1
trois mousquettaires,fantome royal,1,0
tour a bombe,fantome royal,1,0
belier de combat,fantome royal,1,0
squelette geant,fantome royal,2,0
fantome royal,mini p.e.k.k.a,3,2
squelettes,fut a squelettes,3,3
mousquetaire,fournaise,0,1
mousquetaire,mega gargouille,0,2
mousquetaire,mineur,0,1
mousquetaire,fut a squelettes,0,1
fournaise,mega gargouille,0,1
p.e.k.k.a,foudre,2,2
gang de gobelin,foudre,8,2
berserker,cage gobeline,5,1
berserker,boule de neige,5,3
berserker,gobelin a lance,8,1
cage gobeline,gobelin a lance,4,0
gobelin a sarbacane,foudre,4,2
mega gargouille,gobelin a lance,2,1
mega gargouille,foudre,2,2
gobelin a lance,foudre,7,1
ballon,foudre,2,0
chevaucheur de cochon,fut a squelettes,0,1
archeres,fut a squelettes,0,1
squelette geant,foudre,4,0
gang de gobelin,guerrisseuse armee,7,1
pierre tombale,recrues royales,4,2
recrues royales,foudre,1,1
recrues royales,guerrisseuse armee,3,1
foudre,guerrisseuse armee,2,1
horde de gargouille,geante runique,1,1
chevalier,canon,1,1
canon,dragon squelettes,1,1
canon,geante runique,1,0
canon,fut a squelettes,1,1
canon,prince tenebreux,1,2
dragon squelettes,geante runique,2,1
geante runique,boule de neige,2,2
cabane de gobelin,mousquetaire,0,1
mousquetaire,pierre tombale,0,1
mousquetaire,ballon,0,1
mousquetaire,prince,1,1
mousquetaire,esprit de glace,0,2
boule de feu,ronces,0,1
ronces,p.e.k.k.a,0,2
ronces,valkyrie,0,1
ronces,foudre,0,3
ronces,boule de neige,0,1
recrues royales,squelettes,2,1
recrues royales,bebe dragon,2,1
squelette geant,gobelin a lance,2,1
gobelin a lance,electro-esprit,4,1
roquette,electro-esprit,2,0
roquette,fut a squelettes,1,2
electro-esprit,fut a squelettes,2,0
tour de l'enfer,recrues royales,3,0
gargouille,geant royal,0,1
gargouille,recrues royales,0,1
geant royal,recrues royales,0,1
geant royal,fut a squelettes,0,1
foudre,dragon squelettes,3,1
foudre,electro-esprit,5,2
berserker,squelette geant,1,1
berserker,electro-esprit,4,1
electro-dragon,prince,1,0
electro-dragon,prince tenebreux,2,0
electro-dragon,gobelin a lance,1,0
electro-dragon,cabane de barbares,1,0
electro-dragon,cage gobeline,1,0
electro-dragon,bebe dragon,2,1
electro-dragon,esprit de glace,2,0
prince tenebreux,cage gobeline,3,2
gobelin a lance,bebe dragon,5,1
cage gobeline,bebe dragon,2,1
electro-esprit,valkyrie,0,2
electro-esprit,chevaucheur de cochon,0,1
electro-esprit,electrocution,0,1
sorciere,armee de squelettes,6,1
valkyrie,squelette geant,1,1
armee de squelettes,horde de gargouille,1,1
bebe dragon,electro-esprit,3,2
bebe dragon,foudre,5,2
roquette,foudre,1,1
roquette,fournaise,1,0
foudre,fournaise,1,1
gobelin a lance,electrocuteur,2,0
electro-esprit,electrocuteur,2,0
electrocuteur,mortier,1,2
electrocuteur,fut a gobelin,2,1
mortier,berserker,3,1
mortier,recrues royales,1,1
berserker,recrues royales,2,2
fut a gobelin,recrues royales,1,0
gobelin a lance,recrues royales,1,1
electrocuteur,foudre,0,1
electrocuteur,pierre tombale,4,5
cabane de barbares,mortier,0,1
cabane de barbares,foudre,0,1
recrues royales,esprit de glace,0,2
dragon squelettes,golem de glace,0,1
dragon squelettes,cage gobeline,1,1
golem de glace,bebe dragon,0,2
horde de gargouille,electrocuteur,4,0
sapeurs,pierre tombale,3,1
sapeurs,electrocuteur,4,0
sapeurs,boule de feu,2,0
sapeurs,esprit de feu,2,0
sapeurs,fut a squelettes,2,0
electro-esprit,recrues royales,0,1
electro-esprit,chevalier,3,1
electro-esprit,squelettes,0,1
recrues royales,chevalier,1,1
recrues royales,valkyrie,0,1
pierre tombale,berserker,1,2
sorciere,sapeurs,1,1
sorciere,berserker,4,3
prince tenebreux,sapeurs,2,0
sapeurs,berserker,1,1
sapeurs,armee de squelettes,1,1
sapeurs,cage gobeline,2,1
gobelins,electro-esprit,0,1
electro-esprit,gargouille,1,1
geante runique,esprit de feu,0,1
geante runique,tour de l'enfer,0,1
esprit de feu,tour de l'enfer,0,1
guerrisseuse armee,gobelin a lance,2,0
berserker,fut a squelettes,2,2
gargouille,guerrisseuse armee,5,2
guerrisseuse armee,archeres,4,0
guerrisseuse armee,squelettes,3,2
electro-esprit,p.e.k.k.a,2,0
barbares,fut a barbare,0,1
barbares,boule de neige,0,1
barbares,geante runique,0,1
fut a barbare,geante runique,0,1
gobelin a lance,geante runique,1,1
geante runique,gardes,0,1
geante runique,roquette,0,1
prince tenebreux,arc-x,1,0
arc-x,berserker,1,0
arc-x,mortier,1,0
arc-x,bebe dragon,1,0
arc-x,dragon squelettes,1,0
arc-x,foudre,1,0
arc-x,electro-esprit,2,0
armee de squelettes,electro-esprit,1,1
armee de squelettes,foudre,3,2
cage gobeline,p.e.k.k.a,1,0
seisme,chevalier,0,1
